x,y
688081.8,3838302.1
688130.6,3838314.5
688180.1,3838321.8
688228.9,3838334.2
688277.7,3838346.5
688326.4,3838358.8
688376.0,3838366.2
688424.8,3838378.6
688473.6,3838390.9
688523.1,3838398.3
688571.9,3838410.6
688620.7,3838422.9
688670.2,3838430.3
688719.0,3838442.7
688767.8,3838455.0
688817.3,3838462.4
688866.1,3838474.7
688914.9,3838487.0
688964.4,3838494.4
689013.2,3838506.8
689062.0,3838519.1
689111.5,3838526.5
689160.3,3838538.8
689209.8,3838546.2
689259.3,3838553.6
689307.4,3838570.7
689357.0,3838577.6
689406.6,3838584.4
689455.5,3838596.2
689504.4,3838608.0
689553.3,3838619.8
689602.8,3838626.6
689651.7,3838638.4
689700.6,3838650.2
689750.2,3838657.0
689799.1,3838668.8
689848.7,3838675.6
689897.6,3838687.4
689947.2,3838694.3
689996.1,3838706.1
690045.0,3838717.9
690094.6,3838724.7
690143.5,3838736.5
690193.0,3838743.3
690241.9,3838755.1
690290.8,3838766.9
690340.4,3838773.7
690389.3,3838785.5
690438.2,3838797.3
690487.8,3838804.2
690537.4,3838811.0
690586.3,3838822.8
690635.9,3838829.6
690684.8,3838841.4
690734.3,3838848.2
690783.2,3838860.0
690832.8,3838866.9
690881.7,3838878.7
690931.3,3838885.5
690980.2,3838897.3
691029.9,3838903.1
691079.6,3838909.0
691128.0,3838924.7
691177.1,3838934.5
691225.6,3838949.3
691275.8,3838952.2
691324.7,3838964.0
691374.5,3838968.8
691423.5,3838978.6
691471.7,3838993.4
691521.0,3839000.3
691569.6,3839012.1
691619.0,3839019.0
691668.0,3839027.8
691716.8,3839038.6
691765.7,3839048.5
691815.0,3839055.4
691864.6,3839060.2
691913.9,3839067.1
691962.1,3839081.9
692011.0,3839091.7
692060.4,3839098.6
692109.4,3839107.5
692158.5,3839116.3
692207.2,3839127.1
692254.9,3839145.9
692304.6,3839149.8
692353.7,3839158.6
692403.5,3839161.5
692454.5,3839156.5
692507.6,3839136.7
692559.4,3839125.7
692612.3,3839106.8
692665.9,3839083.0
692719.3,3839060.1
692771.3,3839050.4
692824.0,3839036.8
692866.5,3839094.5
692915.3,3839107.7
692964.6,3839117.8
693014.3,3839125.1
693063.5,3839136.2
693114.1,3839137.5
693163.0,3839150.6
693212.4,3839159.8
693262.0,3839168.0
693310.7,3839182.2
693361.4,3839182.5
693422.4,3839112.5
693470.7,3839129.6
693520.7,3839134.8
693570.8,3839139.0
693620.3,3839148.2
693667.1,3839175.2
693713.1,3839208.2
693764.0,3839207.5
693838.4,3839044.5
693887.4,3839056.6
693936.1,3839070.8
693984.0,3839090.8
694032.7,3839105.0
694081.3,3839120.1
694130.2,3839133.2
694178.3,3839151.3
694227.1,3839165.5
694276.1,3839177.6
694324.2,3839195.7
694372.8,3839210.9
694420.8,3839229.9
694469.7,3839243.1
694517.7,3839262.2
694566.5,3839275.3
694616.0,3839284.5
694663.9,3839304.6
694712.4,3839319.7
694760.5,3839337.8
694809.5,3839349.0
694857.4,3839367.0
694905.7,3839383.1
694953.2,3839404.2
695001.4,3839420.3
695050.2,3839432.4
695098.4,3839448.5
695147.7,3839457.7
695195.6,3839475.8
695244.1,3839489.9
695306.2,3839411.0
695354.1,3839429.0
695403.0,3839440.2
695452.3,3839449.4
695501.1,3839461.5
695549.0,3839479.6
695598.6,3839486.8
695651.7,3839469.2
695701.9,3839471.5
695751.0,3839481.6
695799.1,3839498.7
695847.2,3839515.8
695896.4,3839525.0
695944.2,3839544.0
695993.9,3839550.2
696050.7,3839507.0
696103.1,3839494.4
696151.4,3839510.4
696200.0,3839523.6
696247.2,3839546.6
696296.8,3839553.8
696344.4,3839573.8
696394.8,3839575.1
696455.4,3839506.1
696504.5,3839516.2
696553.3,3839528.4
696601.5,3839544.5
696650.5,3839555.6
696698.6,3839572.7
696747.1,3839586.8
696793.7,3839613.8
696823.7,3839714.9
696867.1,3839749.3
696911.2,3839780.8
696957.1,3839804.4
697004.0,3839823.2
697051.2,3839841.0
697098.8,3839856.9
697172.8,3839755.7
697220.4,3839771.6
697268.0,3839787.4
697316.1,3839801.3
697364.1,3839815.2
697410.9,3839835.0
697459.6,3839846.0
697507.9,3839858.9
697555.2,3839875.8
697602.9,3839891.6
697650.2,3839908.5
697698.3,3839922.4
697745.9,3839938.2
697794.2,3839951.2
697842.7,3839963.1
697890.7,3839977.0
697937.9,3839994.8
697986.2,3840007.8
698034.7,3840019.7
698081.2,3840040.5
698130.5,3840048.5
698178.2,3840064.4
698252.8,3839960.3
698273.0,3840092.3
698321.7,3840103.8
698369.7,3840118.2
698417.6,3840132.6
698465.4,3840147.9
698512.4,3840166.2
698558.6,3840188.4
698644.9,3840040.2
698694.4,3840047.8
698742.9,3840060.3
698792.0,3840069.8
698840.6,3840081.3
698888.1,3840097.6
698936.8,3840109.1
698986.2,3840117.6
699033.9,3840133.0
699083.7,3840139.6
699138.3,3840125.8
699186.5,3840139.2
699234.9,3840151.7
699282.9,3840166.0
699329.1,3840188.2
699360.3,3840273.7
699392.6,3840354.2
699430.5,3840411.5
699473.0,3840449.2
699519.8,3840468.5
699567.1,3840485.8
699614.8,3840501.2
699664.8,3840506.8
699714.9,3840512.4
699761.7,3840531.7
699812.2,3840535.4
699866.1,3840524.5
699919.4,3840516.5
699971.7,3840512.4
700025.6,3840501.5
700078.7,3840494.4
700131.0,3840489.4
700179.0,3840504.0
700228.1,3840513.6
700284.9,3840491.2
700344.7,3840456.1
700400.1,3840439.5
